0081: 362;
0066: 344;
0047: 364;
0073: 320;
0090: 343;
0099: 336;
0034: 327;
0083: 331;
0039: 353;
0089: 356;
0058: 330;
0029: 337;
0053: 336;
0030: 334;
0086: 338;
0042: 350;
0014: 331;
0087: 350;
0040: 334;
0041: 353;
0061: 352;
0072: 325;
0008: 344;
0038: 322;
0057: 351;
0020: 352;
0046: 319;
0051: 345;
0023: 328;
0095: 345;
0067: 324;
0098: 335;
0082: 337;
0074: 336;
0024: 330;
0007: 351;
0000: 347;
0001: 338;
0037: 339;
0079: 338;
0091: 340;
0011: 347;
0017: 334;
0031: 339;
0018: 324;
0092: 341;
0096: 346;
0027: 341;
0044: 348;
0052: 338;
0004: 339;
0068: 337;
0056: 346;
0003: 334;
0070: 357;
0002: 333;
0049: 363;
0035: 355;
0065: 320;
0021: 340;
0028: 327;
0069: 336;
0050: 353;
0010: 342;
0025: 323;
0032: 340;
0080: 328;
0036: 348;
0022: 333;
0015: 323;
0012: 333;
0045: 340;
0063: 338;
0033: 332;
0078: 364;
0075: 327;
0013: 349;
0084: 348;
0071: 340;
0085: 330;
0059: 341;
0043: 358;
0054: 328;
0097: 330;
0077: 334;
0019: 305;
0055: 346;
0048: 354;
0094: 330;
0060: 322;
0005: 344;
0006: 365;
0026: 331;
0062: 316;
0088: 352;
0009: 346;
0076: 354;
0093: 345;
0064: 342;
0016: 345;

SCORE: 33951
LOG_SCORE: 100586.27136848628861540571
