0081: 19960416;
0066: 19167828;
0047: 20044386;
0073: 19763853;
0090: 19695330;
0099: 19628113;
0034: 19551061;
0083: 19500488;
0039: 19458398;
0089: 19816417;
0058: 19375051;
0029: 19916006;
0053: 19493185;
0030: 19205993;
0086: 19941426;
0042: 18987285;
0014: 19621602;
0087: 19899204;
0040: 19997196;
0041: 19545464;
0061: 19944676;
0072: 19781985;
0008: 18669245;
0038: 20157952;
0057: 18830624;
0020: 20031641;
0046: 18874604;
0051: 19173025;
0023: 19928486;
0095: 19250502;
0067: 19082192;
0098: 19457858;
0082: 19800617;
0074: 19222421;
0024: 19977715;
0007: 20168310;
0000: 19262295;
0001: 19297676;
0037: 19373332;
0079: 19466619;
0091: 19688299;
0011: 19596364;
0017: 19854305;
0031: 19758153;
0018: 18503065;
0092: 19946971;
0096: 19628342;
0027: 19667215;
0044: 19951240;
0052: 19561251;
0004: 19266617;
0068: 19603746;
0056: 20435786;
0003: 20029418;
0070: 19468931;
0002: 19431759;
0049: 18599905;
0035: 19864350;
0065: 19855926;
0021: 19508691;
0028: 18832197;
0069: 19104019;
0050: 19305843;
0010: 19909038;
0025: 20038014;
0032: 19296155;
0080: 19378069;
0036: 19032479;
0022: 19798691;
0015: 19192609;
0012: 19859122;
0045: 19829371;
0063: 19808022;
0033: 18645872;
0078: 20175113;
0075: 19991522;
0013: 19562420;
0084: 19094503;
0071: 19751477;
0085: 20010558;
0059: 18563936;
0043: 19853657;
0054: 19923765;
0097: 20527748;
0077: 19672069;
0019: 19773031;
0055: 19708425;
0048: 19079161;
0094: 19654452;
0060: 19836306;
0005: 19204500;
0006: 19174211;
0026: 19891831;
0062: 18737407;
0088: 20038648;
0009: 19129111;
0076: 19158471;
0093: 19734313;
0064: 19578176;
0016: 19562139;

SCORE: 1955957262
LOG_SCORE: 101686.29128912078083907883
