0081: 30334831;
0066: 30763121;
0047: 29048211;
0073: 29867316;
0090: 30188946;
0099: 29620742;
0034: 29377436;
0083: 30284936;
0039: 29594568;
0089: 29698916;
0058: 29771097;
0029: 29436459;
0053: 29645032;
0030: 29930835;
0086: 29876524;
0042: 29509874;
0014: 29960295;
0087: 29645901;
0040: 29482964;
0041: 29626611;
0061: 29262071;
0072: 30083017;
0008: 29730930;
0038: 30022660;
0057: 29531333;
0020: 30082377;
0046: 30295411;
0051: 30444753;
0023: 29944389;
0095: 30706509;
0067: 29889214;
0098: 29595709;
0082: 30202551;
0074: 29583834;
0024: 30743426;
0007: 30680128;
0000: 30245551;
0001: 30397661;
0037: 29668807;
0079: 29963050;
0091: 29766516;
0011: 29728731;
0017: 30255516;
0031: 30161018;
0018: 29212281;
0092: 29676193;
0096: 30228721;
0027: 29935513;
0044: 30221592;
0052: 30119259;
0004: 30399025;
0068: 29364642;
0056: 30057120;
0003: 29539323;
0070: 29790329;
0002: 29903118;
0049: 30096258;
0035: 29878225;
0065: 29472806;
0021: 29375093;
0028: 29572456;
0069: 29643428;
0050: 29701661;
0010: 30197406;
0025: 29913821;
0032: 30941570;
0080: 28994047;
0036: 28822693;
0022: 29388003;
0015: 29094867;
0012: 30259906;
0045: 30150480;
0063: 29667714;
0033: 29670458;
0078: 29864801;
0075: 29619814;
0013: 30177844;
0084: 30173853;
0071: 30246301;
0085: 29405721;
0059: 29484823;
0043: 30455954;
0054: 30158374;
0097: 29884522;
0077: 29280802;
0019: 31197223;
0055: 29805026;
0048: 29657128;
0094: 29162009;
0060: 30085200;
0005: 29950138;
0006: 29354250;
0026: 29770074;
0062: 30435234;
0088: 30277401;
0009: 29413125;
0076: 29437381;
0093: 30090514;
0064: 29299832;
0016: 29629159;

SCORE: 2986254288
LOG_SCORE: 101728.01482268542478097747
