0081: 23798920;
0066: 24404920;
0047: 23592706;
0073: 23180513;
0090: 23078816;
0099: 23912507;
0034: 23567915;
0083: 23811304;
0039: 23093623;
0089: 23505378;
0058: 23723044;
0029: 23554651;
0053: 23350081;
0030: 23172388;
0086: 23146019;
0042: 23347759;
0014: 24342403;
0087: 23899232;
0040: 23567665;
0041: 23125063;
0061: 23790806;
0072: 24184240;
0008: 22803156;
0038: 23720828;
0057: 22622600;
0020: 23400361;
0046: 22915699;
0051: 23635496;
0023: 24032086;
0095: 23251100;
0067: 23441626;
0098: 23421551;
0082: 23970737;
0074: 23303227;
0024: 23650399;
0007: 25117015;
0000: 23179577;
0001: 23908933;
0037: 23674517;
0079: 22939878;
0091: 23293834;
0011: 23000833;
0017: 23835294;
0031: 23775653;
0018: 22212129;
0092: 23591440;
0096: 23155360;
0027: 23803147;
0044: 23184435;
0052: 23786817;
0004: 22914667;
0068: 23644762;
0056: 23316438;
0003: 23468736;
0070: 24059492;
0002: 23991971;
0049: 22777567;
0035: 24267217;
0065: 23313587;
0021: 23122416;
0028: 22405825;
0069: 23509191;
0050: 23632376;
0010: 24399394;
0025: 23441137;
0032: 23893958;
0080: 23418901;
0036: 22636115;
0022: 22780560;
0015: 23040988;
0012: 23799211;
0045: 24179564;
0063: 23172829;
0033: 23403695;
0078: 23712183;
0075: 23640875;
0013: 23982715;
0084: 23905549;
0071: 23970131;
0085: 23733298;
0059: 22858961;
0043: 23597807;
0054: 23479741;
0097: 23715658;
0077: 23705966;
0019: 23446690;
0055: 23403664;
0048: 22838987;
0094: 22917262;
0060: 23457619;
0005: 22634268;
0006: 22931519;
0026: 23867566;
0062: 23039132;
0088: 23832219;
0009: 23144074;
0076: 22680051;
0093: 23169826;
0064: 22754027;
0016: 23183350;

SCORE: 2345971416
LOG_SCORE: 101703.35990087435791374975
