0081: 29532329;
0066: 29431034;
0047: 27943813;
0073: 28499652;
0090: 28624279;
0099: 29042328;
0034: 28061399;
0083: 29217102;
0039: 28194642;
0089: 28346500;
0058: 29011315;
0029: 27704837;
0053: 28583558;
0030: 28413371;
0086: 28116536;
0042: 27991476;
0014: 29131213;
0087: 28626029;
0040: 27976996;
0041: 27952477;
0061: 28630743;
0072: 29057221;
0008: 28452183;
0038: 29048716;
0057: 27959800;
0020: 29461311;
0046: 27815572;
0051: 29152458;
0023: 28748083;
0095: 29076187;
0067: 27699630;
0098: 27987841;
0082: 29152694;
0074: 28357429;
0024: 29179372;
0007: 30575713;
0000: 28905178;
0001: 29280190;
0037: 28595791;
0079: 28990486;
0091: 28048150;
0011: 29086984;
0017: 28764843;
0031: 28368089;
0018: 28001830;
0092: 28742132;
0096: 28247075;
0027: 28977454;
0044: 28588059;
0052: 28604376;
0004: 28590794;
0068: 28403912;
0056: 28562951;
0003: 29001069;
0070: 29202194;
0002: 28931646;
0049: 28119634;
0035: 29369587;
0065: 28613709;
0021: 28202118;
0028: 28526793;
0069: 28424329;
0050: 28583094;
0010: 29469914;
0025: 28487281;
0032: 29422006;
0080: 28406564;
0036: 27097933;
0022: 27845939;
0015: 27520747;
0012: 28498280;
0045: 29578380;
0063: 28542930;
0033: 28387438;
0078: 28999085;
0075: 28738054;
0013: 29514839;
0084: 28255469;
0071: 28781679;
0085: 28824263;
0059: 28207514;
0043: 28441128;
0054: 28697450;
0097: 29345752;
0077: 28089227;
0019: 29436415;
0055: 28748335;
0048: 27496776;
0094: 28114770;
0060: 28506237;
0005: 28645537;
0006: 28316525;
0026: 28659056;
0062: 28884976;
0088: 29222335;
0009: 28270144;
0076: 28119720;
0093: 28269624;
0064: 28013276;
0016: 28062523;

SCORE: 2860406427
LOG_SCORE: 101722.55530646552867432700
