0090: 73575;
0066: 74030;
0073: 74165;
0047: 74490;
0081: 75085;
0099: 74830;
0034: 73830;
0083: 74775;
0039: 73805;
0089: 74045;
0058: 72860;
0029: 73585;
0053: 74065;
0030: 72920;
0086: 73995;
0042: 74870;
0014: 73705;
0087: 74180;
0040: 73640;
0041: 73905;
0061: 74530;
0072: 74405;
0008: 74265;
0057: 74085;
0038: 73005;
0046: 73890;
0020: 74470;
0051: 74385;
0023: 73110;
0095: 73585;
0098: 73155;
0067: 74070;
0082: 73605;
0074: 73930;
0024: 74045;
0007: 74995;
0000: 73510;
0001: 74955;
0079: 75205;
0037: 74135;
0091: 73685;
0011: 73775;
0031: 74640;
0017: 74275;
0018: 74295;
0092: 73660;
0096: 73850;
0027: 74555;
0052: 74085;
0044: 74660;
0068: 74880;
0004: 74780;
0056: 73425;
0003: 74835;
0070: 74120;
0002: 74895;
0049: 73405;
0035: 74150;
0021: 73815;
0065: 73465;
0028: 73940;
0069: 74590;
0050: 73715;
0010: 74330;
0025: 74595;
0032: 74005;
0080: 73585;
0036: 74530;
0022: 73305;
0015: 73815;
0063: 73215;
0012: 75030;
0045: 74990;
0033: 75300;
0078: 72755;
0084: 73850;
0075: 73180;
0013: 74730;
0085: 73770;
0071: 72995;
0059: 74075;
0043: 74320;
0054: 73505;
0077: 73815;
0097: 74165;
0019: 74165;
0055: 72495;
0048: 74215;
0060: 74270;
0094: 74015;
0006: 73840;
0005: 74745;
0026: 72840;
0088: 73880;
0062: 73375;
0009: 73740;
0076: 74010;
0093: 74950;
0016: 74165;
0064: 73890;

SCORE: 7403640
LOG_SCORE: 101126.00248717732591872120
