0081: 2307886;
0066: 2205225;
0047: 9167675;
0073: 747252;
0090: 9905364;
0099: 231551;
0034: 642307;
0083: 8275579;
0039: 22690494;
0089: 972240;
0058: 610956;
0029: 817277;
0053: 17908591;
0030: 1458487;
0086: 364593;
0042: 447258;
0014: 1165935;
0087: 15136101;
0040: 730412;
0041: 12057970;
0061: 12832416;
0072: 9803366;
0008: 10834082;
0038: 1150613;
0057: 32877387;
0020: 939390;
0046: 227352;
0051: 878349;
0023: 682883;
0095: 24718691;
0067: 3911516;
0098: 19937093;
0082: 476090;
0074: 4308807;
0024: 505868;
0007: 16338000;
0000: 2547851;
0001: 241491;
0037: 9367484;
0079: 418708;
0091: 3206512;
0011: 5494822;
0017: 13442311;
0031: 15146751;
0018: 393476;
0092: 875050;
0096: 1535069;
0027: 163475;
0044: 506747;
0052: 15579431;
0004: 1163034;
0068: 1876551;
0056: 806470;
0003: 1203181;
0070: 3205445;
0002: 622768;
0049: 7936819;
0035: 21806274;
0065: 7765048;
0021: 549724;
0028: 22812370;
0069: 2109889;
0050: 106966;
0010: 424012;
0025: 10803315;
0032: 13129781;
0080: 145880;
0036: 894374;
0022: 846151;
0015: 3199236;
0012: 1626024;
0045: 3533030;
0063: 268805;
0033: 15984375;
0078: 11516563;
0075: 668801;
0013: 2057004;
0084: 2816080;
0071: 75982;
0085: 1513618;
0059: 13004558;
0043: 12112252;
0054: 1165707;
0097: 13295931;
0077: 1077842;
0019: 349341;
0055: 224134;
0048: 663588;
0094: 226801;
0060: 625335;
0005: 2362557;
0006: 902301;
0026: 8851;
0062: 10480979;
0088: 2913767;
0009: 1948540;
0076: 13326980;
0093: 22628647;
0064: 209065;
0016: 14367680;

SCORE: 570546660
LOG_SCORE: 101655.27576014861442562336
