0081: 5572914;
0066: 1363484;
0047: 8880917;
0073: 1425452;
0090: 9176895;
0099: 231551;
0034: 3888369;
0083: 17369638;
0039: 19573522;
0089: 1887144;
0058: 2513676;
0029: 4107039;
0053: 31433517;
0030: 9011864;
0086: 1263365;
0042: 1402190;
0014: 4444077;
0087: 30261101;
0040: 1611101;
0041: 5857301;
0061: 13222640;
0072: 12666763;
0008: 10838216;
0038: 6883593;
0057: 34408446;
0020: 4286508;
0046: 1134608;
0051: 2012133;
0023: 1609404;
0095: 18971452;
0067: 2286822;
0098: 15714728;
0082: 1224789;
0074: 3491717;
0024: 1443256;
0007: 23245156;
0000: 1685951;
0001: 2594835;
0037: 9826106;
0079: 326838;
0091: 2581923;
0011: 5396438;
0017: 27609401;
0031: 1610051;
0018: 601597;
0092: 7063482;
0096: 4303461;
0027: 7021317;
0044: 3341608;
0052: 35620814;
0004: 2810115;
0068: 871951;
0056: 2340670;
0003: 851840;
0070: 2693855;
0002: 440538;
0049: 8328635;
0035: 11500791;
0065: 10763526;
0021: 4839425;
0028: 21908249;
0069: 7515278;
0050: 359999;
0010: 3050713;
0025: 3643915;
0032: 10008254;
0080: 1446267;
0036: 2131582;
0022: 729351;
0015: 3752893;
0012: 2045237;
0045: 5237093;
0063: 1585988;
0033: 19093695;
0078: 14688977;
0075: 598701;
0013: 4994159;
0084: 1004176;
0071: 58942;
0085: 7101328;
0059: 11395715;
0043: 17126424;
0054: 3164830;
0097: 12996334;
0077: 5470991;
0019: 2345650;
0055: 6970897;
0048: 1528600;
0094: 226801;
0060: 1511797;
0005: 2927246;
0006: 2463801;
0026: 5051;
0062: 9761706;
0088: 8294509;
0009: 4509126;
0076: 16828148;
0093: 19989867;
0064: 3164;
0016: 18728757;

SCORE: 726944727
LOG_SCORE: 101681.91597085585635955407
