0081: 2307886;
0066: 1024393;
0047: 9167675;
0073: 1672905;
0090: 10914421;
0099: 231551;
0034: 1752350;
0083: 8275579;
0039: 22690494;
0089: 1533929;
0058: 610956;
0029: 724552;
0053: 17908591;
0030: 5003828;
0086: 1017240;
0042: 447258;
0014: 11404027;
0087: 15136101;
0040: 730412;
0041: 12057970;
0061: 12832416;
0072: 9803366;
0008: 10834082;
0038: 753254;
0057: 32877387;
0020: 1064633;
0046: 227352;
0051: 878349;
0023: 710085;
0095: 24718691;
0067: 3911516;
0098: 19937093;
0082: 1573910;
0074: 9647470;
0024: 691377;
0007: 16338000;
0000: 2547851;
0001: 163713;
0037: 9367484;
0079: 249052;
0091: 3206512;
0011: 7703163;
0017: 13442311;
0031: 15146751;
0018: 393476;
0092: 1929588;
0096: 2273280;
0027: 885154;
0044: 506747;
0052: 15579431;
0004: 1637914;
0068: 1876551;
0056: 915519;
0003: 1095514;
0070: 5051033;
0002: 622768;
0049: 7936819;
0035: 21806274;
0065: 7765048;
0021: 549724;
0028: 22812370;
0069: 1143761;
0050: 122691;
0010: 403937;
0025: 0;
0032: 13129781;
0080: 145880;
0036: 1795859;
0022: 846151;
0015: 5568156;
0012: 1829595;
0045: 9211918;
0063: 268805;
0033: 15984375;
0078: 11516563;
0075: 727601;
0013: 2057004;
0084: 6078669;
0071: 75982;
0085: 1513618;
0059: 13004558;
0043: 12112252;
0054: 1165707;
0097: 13295931;
0077: 1077842;
0019: 349341;
0055: 224134;
0048: 358156;
0094: 226801;
0060: 571774;
0005: 4111358;
0006: 902301;
0026: 8851;
0062: 16404245;
0088: 3875316;
0009: 2582547;
0076: 13326980;
0093: 22628647;
0064: 219592;
0016: 18426141;

SCORE: 614167966
LOG_SCORE: 101680.27886074520319520313
