0081: 11741697;
0066: 15896618;
0047: 11884167;
0073: 17694626;
0090: 14680719;
0099: 8303851;
0034: 7417373;
0083: 22308892;
0039: 34395122;
0089: 13497089;
0058: 9546323;
0029: 10805421;
0053: 15305866;
0030: 13433895;
0086: 21786689;
0042: 14649834;
0014: 11256140;
0087: 3433901;
0040: 14231524;
0041: 12889429;
0061: 23279400;
0072: 16009765;
0008: 15122993;
0038: 17598266;
0057: 52030834;
0020: 12490383;
0046: 9329368;
0051: 12053049;
0023: 10648965;
0095: 14952008;
0067: 16981833;
0098: 11459168;
0082: 8343795;
0074: 16316188;
0024: 20165296;
0007: 16139818;
0000: 17703651;
0001: 18281957;
0037: 10538308;
0079: 19212206;
0091: 17443534;
0011: 10560655;
0017: 26222387;
0031: 5453851;
0018: 18074911;
0092: 11715507;
0096: 12745439;
0027: 11457597;
0044: 12636707;
0052: 21043558;
0004: 12903599;
0068: 13851351;
0056: 12299476;
0003: 21734398;
0070: 9069821;
0002: 14217262;
0049: 14326837;
0035: 14264796;
0065: 13296147;
0021: 10498383;
0028: 38259265;
0069: 14045514;
0050: 16091001;
0010: 17194936;
0025: 11507031;
0032: 20135158;
0080: 13177260;
0036: 12625016;
0022: 10624451;
0015: 10829918;
0012: 15584609;
0045: 12606845;
0063: 19870121;
0033: 15440376;
0078: 22366277;
0075: 10512001;
0013: 9524766;
0084: 21298291;
0071: 10065627;
0085: 11222476;
0059: 10618808;
0043: 14064287;
0054: 10934667;
0097: 17499623;
0077: 12191862;
0019: 16006297;
0055: 8055925;
0048: 16081908;
0094: 35954301;
0060: 11557906;
0005: 6709937;
0006: 6663301;
0026: 12357651;
0062: 22882562;
0088: 14837324;
0009: 12833000;
0076: 13917316;
0093: 20470016;
0064: 10452776;
0016: 28240411;

SCORE: 1522943460
LOG_SCORE: 101723.19035884072078618102
