0081: 1836077;
0066: 2368059;
0047: 8880917;
0073: 3054778;
0090: 10357529;
0099: 305951;
0034: 414389;
0083: 17369638;
0039: 19573522;
0089: 1824210;
0058: 275769;
0029: 586627;
0053: 31433517;
0030: 9011864;
0086: 1017240;
0042: 78950;
0014: 11404027;
0087: 30261101;
0040: 730412;
0041: 5857301;
0061: 13222640;
0072: 12666763;
0008: 10838216;
0038: 1001928;
0057: 34408446;
0020: 1064633;
0046: 932231;
0051: 367611;
0023: 710085;
0095: 18971452;
0067: 3675354;
0098: 15714728;
0082: 1643970;
0074: 6262565;
0024: 800463;
0007: 23245156;
0000: 1685951;
0001: 241491;
0037: 9826106;
0079: 249052;
0091: 2813591;
0011: 6069442;
0017: 27609401;
0031: 1610051;
0018: 393476;
0092: 1154502;
0096: 3279696;
0027: 612371;
0044: 760682;
0052: 35620814;
0004: 1169872;
0068: 974251;
0056: 806470;
0003: 401147;
0070: 4309160;
0002: 219367;
0049: 8328635;
0035: 11500791;
0065: 10763526;
0021: 504085;
0028: 21908249;
0069: 1468738;
0050: 106966;
0010: 424440;
0025: 3193997;
0032: 10008254;
0080: 145880;
0036: 3395079;
0022: 846151;
0015: 4970630;
0012: 1829595;
0045: 6013052;
0063: 1541772;
0033: 19093695;
0078: 14688977;
0075: 668801;
0013: 773938;
0084: 2666011;
0071: 15827;
0085: 1275534;
0059: 11395715;
0043: 17126424;
0054: 1714370;
0097: 12996334;
0077: 736632;
0019: 349341;
0055: 358800;
0048: 663588;
0094: 96501;
0060: 430103;
0005: 2434791;
0006: 2463801;
0026: 8851;
0062: 14079907;
0088: 3110070;
0009: 2582547;
0076: 16828148;
0093: 19989867;
0064: 219592;
0016: 18746122;

SCORE: 654439139
LOG_SCORE: 101682.00910888712110933889
