0081: 1911136;
0066: 2205225;
0047: 9167675;
0073: 747252;
0090: 9905364;
0099: 231551;
0034: 414389;
0083: 8275579;
0039: 22690494;
0089: 1920464;
0058: 526930;
0029: 566459;
0053: 17908591;
0030: 1458487;
0086: 1017240;
0042: 447258;
0014: 15122644;
0087: 15136101;
0040: 730412;
0041: 12057970;
0061: 12832416;
0072: 9803366;
0008: 10834082;
0038: 1150613;
0057: 32877387;
0020: 1064633;
0046: 932231;
0051: 878349;
0023: 1265818;
0095: 24718691;
0067: 3911516;
0098: 19937093;
0082: 476090;
0074: 4308807;
0024: 617126;
0007: 16338000;
0000: 2547851;
0001: 241491;
0037: 9367484;
0079: 1342080;
0091: 2894011;
0011: 5494822;
0017: 13442311;
0031: 15146751;
0018: 841570;
0092: 1975120;
0096: 1535069;
0027: 263410;
0044: 506747;
0052: 15579431;
0004: 1163034;
0068: 974251;
0056: 589223;
0003: 1095514;
0070: 3205445;
0002: 622768;
0049: 7936819;
0035: 21806274;
0065: 7765048;
0021: 504085;
0028: 22812370;
0069: 1143761;
0050: 122691;
0010: 424440;
0025: 11617437;
0032: 13129781;
0080: 922555;
0036: 894374;
0022: 729351;
0015: 3199236;
0012: 1626024;
0045: 3533030;
0063: 762214;
0033: 15984375;
0078: 11516563;
0075: 598701;
0013: 773938;
0084: 2816080;
0071: 15827;
0085: 1059315;
0059: 13004558;
0043: 12112252;
0054: 1165707;
0097: 13295931;
0077: 736632;
0019: 349341;
0055: 224134;
0048: 358156;
0094: 226801;
0060: 477240;
0005: 2362557;
0006: 902301;
0026: 8851;
0062: 10480979;
0088: 4104188;
0009: 2582547;
0076: 13326980;
0093: 22628647;
0064: 69935;
0016: 14367680;

SCORE: 587695528
LOG_SCORE: 101655.27576014861442562336
