0081: 980263;
0066: 652549;
0047: 675068;
0073: 667039;
0090: 749146;
0099: 722570;
0034: 752258;
0083: 726998;
0039: 776356;
0089: 681255;
0058: 656068;
0029: 648571;
0053: 614364;
0030: 793906;
0086: 648109;
0042: 798232;
0014: 703426;
0087: 694715;
0040: 676306;
0041: 719613;
0061: 706537;
0072: 538245;
0008: 842358;
0038: 826208;
0057: 707921;
0020: 767173;
0046: 822232;
0051: 789233;
0023: 671867;
0095: 681515;
0067: 651541;
0098: 795367;
0082: 702053;
0074: 882785;
0024: 857718;
0007: 831063;
0000: 567358;
0001: 775008;
0037: 874082;
0079: 566411;
0091: 993586;
0011: 949543;
0017: 523680;
0031: 654747;
0018: 650227;
0092: 663557;
0096: 643126;
0027: 616376;
0044: 1081379;
0052: 693792;
0004: 649202;
0068: 853041;
0056: 948081;
0003: 646045;
0070: 702307;
0002: 595835;
0049: 741515;
0035: 639415;
0065: 877213;
0021: 604019;
0028: 655694;
0069: 679346;
0050: 656808;
0010: 755116;
0025: 640678;
0032: 629313;
0080: 607277;
0036: 655277;
0022: 675294;
0015: 625299;
0012: 818798;
0045: 854349;
0063: 785759;
0033: 654532;
0078: 775220;
0075: 766056;
0013: 757220;
0084: 922868;
0071: 812203;
0085: 610775;
0059: 806955;
0043: 739045;
0054: 791070;
0097: 749398;
0077: 713466;
0019: 767081;
0055: 742667;
0048: 736577;
0094: 677342;
0060: 630789;
0005: 619368;
0006: 699779;
0026: 851100;
0062: 568745;
0088: 645987;
0009: 858537;
0076: 668228;
0093: 736869;
0064: 679111;
0016: 792073;

SCORE: 72732242
