0081: 980263;
0066: 659477;
0047: 675068;
0073: 667039;
0090: 749146;
0099: 722570;
0034: 743433;
0083: 726998;
0039: 793190;
0089: 684226;
0058: 656068;
0029: 648571;
0053: 614364;
0030: 793906;
0086: 637214;
0042: 801757;
0014: 703426;
0087: 703715;
0040: 676306;
0041: 719613;
0061: 706537;
0072: 538245;
0008: 849272;
0038: 842585;
0057: 711823;
0020: 777847;
0046: 822232;
0051: 789233;
0023: 668383;
0095: 681515;
0067: 651541;
0098: 800235;
0082: 702053;
0074: 882785;
0024: 851005;
0007: 859153;
0000: 567358;
0001: 775008;
0037: 874082;
0079: 566411;
0091: 993586;
0011: 949543;
0017: 523680;
0031: 653774;
0018: 650227;
0092: 672013;
0096: 643126;
0027: 616376;
0044: 1081379;
0052: 693792;
0004: 653946;
0068: 853041;
0056: 948081;
0003: 659281;
0070: 702307;
0002: 595835;
0049: 741515;
0035: 639415;
0065: 877213;
0021: 604019;
0028: 588960;
0069: 679346;
0050: 676499;
0010: 755116;
0025: 640678;
0032: 629313;
0080: 607277;
0036: 655277;
0022: 685786;
0015: 636425;
0012: 818798;
0045: 854349;
0063: 800074;
0033: 674203;
0078: 775220;
0075: 766056;
0013: 780235;
0084: 945567;
0071: 812203;
0085: 610775;
0059: 806955;
0043: 739045;
0054: 791070;
0097: 759159;
0077: 715337;
0019: 823164;
0055: 742667;
0048: 742604;
0094: 677342;
0060: 630789;
0005: 619368;
0006: 699779;
0026: 851100;
0062: 568745;
0088: 645550;
0009: 872933;
0076: 690577;
0093: 736869;
0064: 679111;
0016: 845904;

SCORE: 73056027
