0081: 650957;
0066: 665190;
0047: 556886;
0073: 579902;
0090: 654436;
0099: 626034;
0034: 644778;
0083: 730634;
0039: 668038;
0089: 650564;
0058: 590911;
0029: 590415;
0053: 556007;
0030: 699384;
0086: 587751;
0042: 680644;
0014: 638594;
0087: 596865;
0040: 587176;
0041: 636981;
0061: 652420;
0072: 537976;
0008: 661354;
0038: 688723;
0057: 625120;
0020: 632495;
0046: 630019;
0051: 610808;
0023: 594343;
0095: 661560;
0067: 615827;
0098: 841783;
0082: 658541;
0074: 703288;
0024: 682272;
0007: 697393;
0000: 434596;
0001: 563715;
0037: 719744;
0079: 605962;
0091: 758808;
0011: 672561;
0017: 548556;
0031: 648263;
0018: 517708;
0092: 637277;
0096: 688220;
0027: 702153;
0044: 826721;
0052: 586408;
0004: 642862;
0068: 672214;
0056: 731327;
0003: 621508;
0070: 623092;
0002: 584416;
0049: 619785;
0035: 609691;
0065: 732819;
0021: 567386;
0028: 517187;
0069: 678322;
0050: 609051;
0010: 573287;
0025: 669736;
0032: 587436;
0080: 552635;
0036: 606030;
0022: 693443;
0015: 553310;
0012: 753242;
0045: 697781;
0063: 713459;
0033: 605232;
0078: 649515;
0075: 602214;
0013: 687667;
0084: 808357;
0071: 650164;
0085: 631428;
0059: 569845;
0043: 647418;
0054: 672377;
0097: 728724;
0077: 607226;
0019: 654457;
0055: 611599;
0048: 678566;
0094: 580943;
0060: 573236;
0005: 617389;
0006: 571030;
0026: 703374;
0062: 519694;
0088: 630296;
0009: 719334;
0076: 612757;
0093: 695965;
0064: 594760;
0016: 655033;

SCORE: 63885380
