0081: 980263;
0066: 677809;
0047: 638894;
0073: 702275;
0090: 806221;
0099: 748020;
0034: 738535;
0083: 726734;
0039: 815128;
0089: 671660;
0058: 706042;
0029: 664874;
0053: 644554;
0030: 844423;
0086: 518838;
0042: 782606;
0014: 719860;
0087: 704450;
0040: 705609;
0041: 773478;
0061: 718417;
0072: 588715;
0008: 859389;
0038: 905592;
0057: 676439;
0020: 777847;
0046: 828177;
0051: 777634;
0023: 645994;
0095: 763825;
0067: 586416;
0098: 914051;
0082: 708606;
0074: 866317;
0024: 868459;
0007: 921334;
0000: 578800;
0001: 777614;
0037: 874082;
0079: 647357;
0091: 993586;
0011: 949543;
0017: 561866;
0031: 665787;
0018: 650227;
0092: 734934;
0096: 759598;
0027: 693635;
0044: 1074534;
0052: 707443;
0004: 594019;
0068: 886324;
0056: 948081;
0003: 649410;
0070: 766271;
0002: 640854;
0049: 755563;
0035: 600729;
0065: 890697;
0021: 647643;
0028: 655694;
0069: 756630;
0050: 719373;
0010: 755116;
0025: 725954;
0032: 614845;
0080: 583468;
0036: 647495;
0022: 658014;
0015: 613284;
0012: 818798;
0045: 853352;
0063: 821374;
0033: 696323;
0078: 778918;
0075: 736409;
0013: 787285;
0084: 945567;
0071: 812203;
0085: 714930;
0059: 728434;
0043: 739045;
0054: 805685;
0097: 746179;
0077: 757560;
0019: 848922;
0055: 795288;
0048: 788883;
0094: 737895;
0060: 570691;
0005: 522855;
0006: 746428;
0026: 891388;
0062: 579889;
0088: 710869;
0009: 918620;
0076: 704116;
0093: 736869;
0064: 682408;
0016: 854974;

SCORE: 74588112
