0081: 574409;
0066: 564823;
0047: 510080;
0073: 518205;
0090: 568304;
0099: 566396;
0034: 623324;
0083: 633934;
0039: 565356;
0089: 586698;
0058: 568368;
0029: 530498;
0053: 536456;
0030: 610782;
0086: 519027;
0042: 516073;
0014: 582030;
0087: 559189;
0040: 458453;
0041: 526301;
0061: 575821;
0072: 441155;
0008: 593668;
0038: 591434;
0057: 586089;
0020: 551743;
0046: 560017;
0051: 486763;
0023: 571533;
0095: 531620;
0067: 572398;
0098: 680964;
0082: 559109;
0074: 609436;
0024: 646645;
0007: 622035;
0000: 467314;
0001: 530505;
0037: 566535;
0079: 510787;
0091: 609395;
0011: 563491;
0017: 412225;
0031: 547103;
0018: 439267;
0092: 569909;
0096: 563696;
0027: 480025;
0044: 619343;
0052: 504325;
0004: 574585;
0068: 622056;
0056: 604396;
0003: 544567;
0070: 594322;
0002: 438859;
0049: 604484;
0035: 551675;
0065: 580874;
0021: 555222;
0028: 452693;
0069: 622918;
0050: 520683;
0010: 454181;
0025: 548830;
0032: 520945;
0080: 542867;
0036: 543465;
0022: 561450;
0015: 566629;
0012: 631291;
0045: 665491;
0063: 573744;
0033: 514264;
0078: 520018;
0075: 526496;
0013: 647874;
0084: 708187;
0071: 448301;
0085: 503917;
0059: 565657;
0043: 549541;
0054: 543877;
0097: 623657;
0077: 544195;
0019: 632536;
0055: 619423;
0048: 574050;
0094: 547417;
0060: 518572;
0005: 539847;
0006: 480222;
0026: 599799;
0062: 484063;
0088: 556153;
0009: 580785;
0076: 522924;
0093: 559062;
0064: 567121;
0016: 603372;

SCORE: 55640613
