0081: 750244;
0066: 670750;
0047: 589192;
0073: 635717;
0090: 671309;
0099: 653916;
0034: 667275;
0083: 676975;
0039: 679997;
0089: 660465;
0058: 660041;
0029: 615690;
0053: 654219;
0030: 672705;
0086: 593101;
0042: 645709;
0014: 709749;
0087: 626364;
0040: 596805;
0041: 664224;
0061: 687640;
0072: 565920;
0008: 832824;
0038: 739285;
0057: 661231;
0020: 637139;
0046: 670337;
0051: 740857;
0023: 628321;
0095: 733798;
0067: 590481;
0098: 848498;
0082: 719790;
0074: 788421;
0024: 683231;
0007: 814130;
0000: 464193;
0001: 621918;
0037: 720685;
0079: 541242;
0091: 825565;
0011: 768369;
0017: 505137;
0031: 640788;
0018: 608010;
0092: 633267;
0096: 559353;
0027: 682603;
0044: 860946;
0052: 629832;
0004: 643594;
0068: 749092;
0056: 873706;
0003: 602342;
0070: 655164;
0002: 555497;
0049: 672879;
0035: 648021;
0065: 738245;
0021: 598185;
0028: 635763;
0069: 647469;
0050: 609448;
0010: 599477;
0025: 638957;
0032: 600583;
0080: 622450;
0036: 643149;
0022: 638794;
0015: 613759;
0012: 741106;
0045: 807511;
0063: 763962;
0033: 696690;
0078: 708091;
0075: 592027;
0013: 761219;
0084: 851383;
0071: 716843;
0085: 579635;
0059: 645127;
0043: 717814;
0054: 710801;
0097: 670666;
0077: 700774;
0019: 743972;
0055: 658664;
0048: 708119;
0094: 633172;
0060: 604985;
0005: 618436;
0006: 647869;
0026: 785462;
0062: 539631;
0088: 681498;
0009: 719750;
0076: 618344;
0093: 703769;
0064: 623400;
0016: 623879;

SCORE: 67059431
