0081: 980263;
0066: 679199;
0047: 625836;
0073: 733332;
0090: 800353;
0099: 741262;
0034: 733167;
0083: 721991;
0039: 795399;
0089: 667429;
0058: 700698;
0029: 653913;
0053: 653702;
0030: 849672;
0086: 514349;
0042: 765560;
0014: 719860;
0087: 714597;
0040: 705609;
0041: 764872;
0061: 704058;
0072: 588715;
0008: 859389;
0038: 882294;
0057: 663231;
0020: 777847;
0046: 816077;
0051: 789233;
0023: 659628;
0095: 763825;
0067: 570796;
0098: 820715;
0082: 708606;
0074: 866317;
0024: 868459;
0007: 902719;
0000: 578800;
0001: 777614;
0037: 874082;
0079: 647357;
0091: 993586;
0011: 949543;
0017: 561866;
0031: 670860;
0018: 650227;
0092: 720723;
0096: 755583;
0027: 693635;
0044: 1074534;
0052: 707443;
0004: 604238;
0068: 851049;
0056: 948081;
0003: 636174;
0070: 774709;
0002: 640854;
0049: 741497;
0035: 586092;
0065: 893140;
0021: 643788;
0028: 655694;
0069: 737409;
0050: 692140;
0010: 755116;
0025: 725954;
0032: 594726;
0080: 579618;
0036: 639604;
0022: 642850;
0015: 613608;
0012: 818798;
0045: 838549;
0063: 799578;
0033: 686855;
0078: 778918;
0075: 736409;
0013: 808164;
0084: 945567;
0071: 812203;
0085: 714930;
0059: 723577;
0043: 739045;
0054: 805685;
0097: 741501;
0077: 752124;
0019: 825996;
0055: 791685;
0048: 780472;
0094: 693760;
0060: 561924;
0005: 524391;
0006: 775621;
0026: 891388;
0062: 579889;
0088: 697948;
0009: 916954;
0076: 676962;
0093: 738670;
0064: 688662;
0016: 842847;

SCORE: 74064238
