0066: 4; 78, 600080, 79000, 79;
0081: 1; 94, 865696, 95000, 95;
0047: 1; 88, 693312, 89000, 89;
0073: 1; 98, 1082274, 98000, 98;
0090: 182; 63, 268250, 63000, 63;
0099: 103; 65, 323662, 65000, 65;
0083: 55; 67, 421328, 69000, 69;
0039: 4; 78, 580056, 79000, 79;
0034: 49668; 37, 357708, 65000, 65;
0089: 2; 81, 684774, 82000, 82;
0058: 8; 75, 569564, 76000, 76;
0053: 43; 68, 436248, 70000, 70;
0029: 7; 75, 593502, 79000, 79;
0086: 13; 73, 518484, 74000, 74;
0030: 1; 91, 1036180, 96000, 96;
0042: 269; 61, 293258, 64000, 64;
0014: 194; 62, 342836, 65000, 65;
0087: 94; 66, 263240, 67000, 67;
0040: 1; 98, 1180402, 98000, 98;
0041: 26; 70, 462188, 75000, 75;
0061: 1; 96, 106098, 96000, 96;
0072: 13; 73, 508196, 75000, 75;
0038: 38; 70, 272700, 71000, 71;
0008: 1; 86, 800312, 87000, 87;
0057: 2; 82, 536382, 82000, 82;
0046: 1; 89, 142154, 92000, 92;
0051: 11; 74, 459978, 74000, 74;
0020: 1; 91, 873228, 94000, 94;
0023: 1; 89, 659744, 90000, 90;
0095: 1; 93, 928782, 94000, 94;
0067: 13; 73, 478198, 73000, 73;
0098: 2; 83, 673500, 84000, 84;
0024: 280; 61, 275916, 62000, 62;
0082: 4; 78, 679978, 81000, 81;
0074: 112; 64, 394020, 68000, 68;
0007: 34; 69, 434200, 71000, 71;
0000: 1; 94, 1095470, 95000, 95;
0001: 101; 65, 334662, 66000, 66;
0037: 3; 84, 171482, 85000, 85;
0079: 11; 73, 597386, 79000, 79;
0091: 6; 77, 483832, 79000, 79;
0031: 23; 71, 421748, 72000, 72;
0011: 16; 72, 495570, 73000, 73;
0017: 1; 98, 950160, 98000, 98;
0018: 20; 71, 488756, 73000, 73;
0092: 1; 94, 724544, 95000, 95;
0027: 1; 95, 456182, 95000, 95;
0044: 4; 78, 584004, 79000, 79;
0052: 3; 79, 659948, 80000, 80;
0096: 26; 70, 469480, 72000, 72;
0004: 3; 80, 631082, 81000, 81;
0056: 47; 68, 383532, 68000, 68;
0003: 2053; 52, 283948, 61000, 61;
0070: 7; 76, 517278, 76000, 76;
0002: 1; 89, 819724, 89000, 89;
0049: 75; 66, 373090, 68000, 68;
0068: 3; 82, 275732, 83000, 83;
0035: 370; 60, 254626, 60000, 60;
0065: 1; 91, 1024472, 93000, 93;
0021: 284; 61, 271150, 62000, 62;
0028: 10; 74, 515316, 76000, 76;
0069: 3; 80, 653608, 82000, 82;
0010: 652; 53, 927310, 95000, 95;
0050: 1; 85, 743594, 85000, 85;
0025: 258; 63, 139584, 65000, 65;
0032: 34; 69, 447568, 70000, 70;
0080: 2; 81, 690228, 82000, 82;
0036: 1; 88, 945322, 91000, 91;
0022: 285; 61, 269484, 62000, 62;
0015: 1; 93, 1022850, 93000, 93;
0045: 2; 85, 291504, 87000, 87;
0012: 11; 74, 475888, 76000, 76;
0033: 357; 60, 270216, 60000, 60;
0063: 1; 93, 1013238, 94000, 94;
0078: 1; 86, 763518, 86000, 86;
0075: 3; 80, 611030, 81000, 81;
0013: 119; 60, 1095466, 96000, 96;
0084: 60; 67, 372088, 67000, 67;
0071: 1; 89, 955756, 91000, 91;
0085: 1; 94, 414104, 95000, 95;
0059: 67; 67, 317970, 68000, 68;
0043: 1; 94, 1007844, 95000, 95;
0097: 1; 85, 800790, 87000, 87;
0054: 34; 69, 450020, 71000, 71;
0077: 1; 87, 910788, 89000, 89;
0055: 2; 81, 593100, 84000, 84;
0019: 99; 65, 344866, 65000, 65;
0048: 1; 97, 785060, 99000, 99;
0094: 36; 69, 402794, 70000, 70;
0060: 1; 95, 1117206, 96000, 96;
0005: 1; 92, 978780, 93000, 93;
0006: 1; 88, 830306, 89000, 89;
0062: 22; 71, 445600, 71000, 71;
0026: 14; 74, 335784, 74000, 74;
0088: 1932; 48, 957748, 97000, 97;
0009: 540; 60, 123100, 61000, 61;
0064: 17; 73, 344222, 75000, 75;
0076: 1; 84, 782384, 86000, 86;
0093: 1; 97, 936616, 99000, 99;
0016: 5; 77, 569476, 78000, 78;

TOTAL_SCORE: 58833
AVELAGE_SCOR: 588
AVELAGE_WA_CNT: 77
AVELAGE_P_COST: 582164
AVELAGE_M_COST: 80050
AVELAGE_M_CNT: 80
TOTAL_EXP_SCORE: 100.06009184261391599338
