0081: 1; 91, 12678796, 95000, 95;
0047: 1; 86, 10396962, 89000, 89;
0066: 1; 78, 8114426, 79000, 79;
0090: 28; 61, 4232250, 63000, 63;
0073: 1; 98, 12734566, 98000, 98;
0099: 118; 55, 3831670, 65000, 65;
0083: 10; 65, 5274846, 69000, 69;
0034: 20723645; 0, 4660406, 65000, 65;
0039: 1; 78, 6766330, 79000, 79;
0089: 1; 76, 7638758, 82000, 82;
0058: 1; 75, 7065034, 76000, 76;
0029: 17; 61, 7160534, 79000, 79;
0030: 30; 56, 12588250, 96000, 96;
0053: 8; 66, 5259280, 70000, 70;
0086: 2; 72, 7033664, 74000, 74;
0014: 55; 58, 4241566, 65000, 65;
0042: 154; 54, 3644000, 64000, 64;
0040: 1; 98, 13451552, 98000, 98;
0087: 9; 66, 4435954, 67000, 67;
0041: 2678; 39, 6029928, 75000, 75;
0072: 5; 67, 6499128, 75000, 75;
0061: 1; 88, 8462400, 96000, 96;
0008: 1; 86, 9129364, 87000, 87;
0057: 1; 81, 7882192, 82000, 82;
0038: 4; 69, 5145810, 71000, 71;
0051: 2; 73, 6071848, 74000, 74;
0046: 1; 89, 7756984, 92000, 92;
0020: 1; 88, 11313220, 94000, 94;
0095: 1; 93, 12288348, 94000, 94;
0023: 2; 70, 10615354, 90000, 90;
0098: 1; 82, 8450060, 84000, 84;
0024: 31; 61, 3921264, 62000, 62;
0074: 50; 57, 5880014, 68000, 68;
0082: 72; 54, 7993344, 81000, 81;
0067: 2; 73, 5962404, 73000, 73;
0007: 15; 62, 6489510, 71000, 71;
0001: 14; 64, 4324592, 66000, 66;
0000: 1; 83, 13636660, 95000, 95;
0079: 357; 47, 7642300, 79000, 79;
0037: 1; 84, 6500722, 85000, 85;
0091: 1; 77, 6871742, 79000, 79;
0011: 7; 66, 6516156, 73000, 73;
0031: 3; 70, 5776080, 72000, 72;
0018: 7; 66, 5963918, 73000, 73;
0017: 1; 91, 13240048, 98000, 98;
0092: 1; 93, 12123506, 95000, 95;
0044: 1; 78, 7435516, 79000, 79;
0052: 1; 79, 8193742, 80000, 80;
0096: 4; 69, 5655790, 72000, 72;
0027: 1; 95, 10405670, 95000, 95;
0004: 1; 80, 8089184, 81000, 81;
0056: 10; 65, 5097960, 68000, 68;
0068: 1; 81, 7445332, 83000, 83;
0003: 1598579; 12, 4137786, 61000, 61;
0070: 1; 76, 6899410, 76000, 76;
0049: 49; 58, 4792080, 68000, 68;
0002: 1; 88, 10399820, 89000, 89;
0035: 44; 60, 3369230, 60000, 60;
0065: 1; 89, 12078954, 93000, 93;
0021: 32; 61, 3763968, 62000, 62;
0069: 1; 80, 8234118, 82000, 82;
0050: 1; 85, 9640560, 85000, 85;
0028: 2; 73, 6659770, 76000, 76;
0010: 7414305; 0, 13292442, 95000, 95;
0025: 27; 62, 3528330, 65000, 65;
0032: 4; 69, 5647974, 70000, 70;
0080: 1; 77, 8830798, 82000, 82;
0022: 33; 61, 3661356, 62000, 62;
0036: 3; 68, 11930756, 91000, 91;
0015: 1; 91, 12949410, 93000, 93;
0045: 1; 84, 6457780, 87000, 87;
0012: 3; 69, 7077030, 76000, 76;
0063: 1; 92, 12830552, 94000, 94;
0033: 42; 60, 3501898, 60000, 60;
0078: 1; 85, 9554708, 86000, 86;
0075: 1; 79, 7850408, 81000, 81;
0084: 7; 67, 4525416, 67000, 67;
0071: 1; 88, 11168014, 91000, 91;
0013: 6951355; 0, 14189686, 96000, 96;
0085: 1; 93, 9838588, 95000, 95;
0043: 1; 89, 12773342, 95000, 95;
0097: 1; 84, 9540510, 87000, 87;
0059: 10; 66, 4081472, 68000, 68;
0077: 1; 82, 10533644, 89000, 89;
0054: 5; 68, 5915736, 71000, 71;
0055: 304841; 16, 9049524, 84000, 84;
0048: 1; 95, 13629594, 99000, 99;
0019: 12; 65, 4361462, 65000, 65;
0094: 4; 69, 5605242, 70000, 70;
0060: 1; 93, 13986078, 96000, 96;
0006: 1; 88, 9763106, 89000, 89;
0005: 1; 92, 11716492, 93000, 93;
0026: 2; 74, 5499702, 74000, 74;
0062: 3; 71, 6060050, 71000, 71;
0088: 7973884; 0, 12343940, 97000, 97;
0009: 61; 59, 3022982, 61000, 61;
0076: 16; 60, 9498490, 86000, 86;
0093: 1; 96, 14338332, 99000, 99;
0064: 2; 72, 6163902, 75000, 75;
0016: 1; 74, 7045168, 78000, 78;

TOTAL_SCORE: 44970711
AVELAGE_SCOR: 449707
AVELAGE_WA_CNT: 70
AVELAGE_P_COST: 7977585
AVELAGE_M_COST: 80050
AVELAGE_M_CNT: 80
TOTAL_EXP_SCORE: 1000374577.77321523987915747106
