0081: 9830909; 0, 1440000, 8632000, 4560;
0066: 68164; 6, 372000000, 12482000, 9796;
0047: 7948621; 0, 4000000, 8480800, 4005;
0073: 8; 47, 358000000, 11436600, 8820;
0090: 408030; 4, 88000000, 12285000, 9765;
0099: 21459117; 0, 186624, 4373400, 2145;
0034: 160203010; 0, 17208, 507000, 455;
0083: 7692190; 0, 4000000, 8900200, 2415;
0039: 34881; 25, 4000000, 6730900, 3160;
0089: 9539324; 0, 186624, 10196300, 3403;
0058: 21212; 9, 622000000, 10670400, 9576;
0029: 10591650; 0, 90000, 9251400, 3160;
0053: 1677039; 5, 4000000, 15439200, 4970;
0030: 22291388; 2, 1907064, 864000, 768;
0086: 53801; 5, 598000000, 10966800, 9842;
0042: 18566917; 0, 186624, 5099300, 2080;
0014: 12239927; 0, 2985984, 5084000, 2145;
0087: 869; 34, 48000000, 10264400, 8040;
0040: 16678; 9, 794000000, 10701600, 9604;
0041: 48539802; 1, 880632, 667500, 525;
0061: 18911314; 0, 1866240, 3321600, 2592;
0072: 13928190; 0, 944784, 6134900, 2850;
0008: 481; 29, 310000000, 11692800, 9048;
0038: 575108; 5, 46000000, 10877200, 8520;
0057: 4655; 34, 4000000, 6793300, 3403;
0020: 8869979; 0, 944784, 10229200, 4465;
0046: 1084; 34, 36000000, 10681200, 8280;
0051: 9697440; 0, 4000000, 6212000, 2775;
0023: 27479020; 1, 1677312, 1134000, 990;
0095: 54600; 22, 4000000, 9414300, 4465;
0067: 12419; 13, 432000000, 10599600, 8176;
0098: 322; 32, 236000000, 10054800, 7812;
0082: 31499536; 1, 1807920, 631800, 567;
0074: 12423991; 0, 345744, 7603200, 2346;
0024: 5903; 21, 144000000, 12152000, 9300;
0007: 10396606; 0, 186624, 9331900, 2556;
0000: 6267108; 0, 186624, 15669700, 4560;
0001: 6119277; 0, 4000000, 12241800, 4422;
0037: 56376; 17, 30000000, 9843000, 7650;
0079: 28969868; 2, 1492992, 616200, 553;
0091: 1074; 41, 4000000, 5804100, 3160;
0011: 10295710; 0, 944784, 8668000, 2701;
0017: 9386337; 0, 944784, 9609000, 4851;
0031: 5420858; 3, 4000000, 5345000, 2628;
0018: 12583840; 0, 90000, 7756700, 2701;
0092: 3842; 26, 68000000, 10573500, 8265;
0096: 374; 31, 254000000, 10800000, 8352;
0027: 1438894; 8, 4000000, 7559800, 4560;
0044: 3596; 20, 308000000, 12576800, 9796;
0052: 92659; 2, 680000000, 10608000, 9520;
0004: 62745; 6, 406000000, 11696400, 9072;
0068: 364051; 8, 36000000, 9984900, 7719;
0056: 13728186; 0, 944784, 6239500, 2346;
0003: 102837281; 1, 275328, 402600, 366;
0070: 326; 33, 182000000, 12806000, 9880;
0002: 674; 42, 4000000, 8534500, 4005;
0049: 20568836; 0, 186624, 4575100, 2346;
0035: 126579; 7, 154000000, 11580000, 9000;
0065: 600; 41, 4000000, 13631000, 4371;
0021: 867774; 1, 80000000, 12090000, 9610;
0028: 354720; 1, 214000000, 11430400, 9120;
0069: 61; 36, 528000000, 12431200, 9512;
0050: 171044; 17, 4000000, 9065100, 3655;
0010: 107182975; 0, 15984, 817000, 665;
0025: 121065; 13, 34000000, 11310000, 9100;
0032: 4586988; 0, 4000000, 17700800, 4970;
0080: 723356; 10, 4000000, 10743900, 3403;
0036: 11045806; 1, 6432768, 709800, 637;
0022: 7443135; 0, 4000000, 9335200, 3906;
0015: 34; 54, 4000000, 13363200, 4371;
0012: 14180375; 0, 4140000, 2812000, 2128;
0045: 66; 47, 32000000, 10335600, 8091;
0063: 7150466; 0, 2108304, 11776800, 4465;
0033: 139497; 2, 448000000, 10692000, 9720;
0078: 249674; 0, 390000000, 10423200, 7998;
0075: 60467; 10, 168000000, 9477000, 7533;
0013: 91322533; 1, 27216, 748800, 672;
0084: 6469980; 0, 4000000, 11356000, 4556;
0071: 6046899; 0, 2108304, 14329100, 4186;
0085: 9671102; 0, 2985984, 7254100, 4560;
0059: 10398; 21, 78000000, 10608000, 8432;
0043: 8316684; 0, 186624, 11737400, 4560;
0054: 278545; 15, 4000000, 8531500, 2556;
0097: 81764; 5, 388000000, 12667200, 9744;
0077: 7900839; 0, 944784, 11612100, 4005;
0019: 190569; 0, 514000000, 10647000, 9555;
0055: 71499050; 1, 170496, 848400, 672;
0048: 9702898; 0, 1440000, 8766200, 4950;
0094: 191198; 0, 512000000, 10920000, 9800;
0060: 107138; 2, 586000000, 11260800, 8640;
0005: 9969; 14, 430000000, 11104200, 8649;
0006: 142; 34, 348000000, 10413000, 8010;
0026: 4592; 26, 54000000, 11721600, 9176;
0062: 111271; 2, 564000000, 11076000, 9940;
0088: 102953531; 0, 17712, 853600, 679;
0009: 14412961; 0, 4000000, 2838200, 1891;
0076: 18974036; 0, 2856960, 2313400, 1806;
0093: 128; 49, 4000000, 9855900, 4950;
0064: 67269; 14, 54000000, 11280000, 9000;
0016: 12237380; 0, 944784, 7126900, 3081;

TOTAL_SCORE: 1198211655
AVELAGE_SCOR: 11982116
AVELAGE_WA_CNT: 10
AVELAGE_P_COST: 117571000
AVELAGE_M_COST: 8714008
AVELAGE_M_CNT: 5331
TOTAL_EXP_SCORE: 9183257.13092523289324697668
