0081: 2728342; 0, 35280000, 1272300, 865;
0066: 686177; 0, 128000000, 17635100, 9807;
0047: 928811; 0, 92000000, 15564600, 9856;
0073: 8127; 20, 124000000, 17769900, 9854;
0090: 1216282; 0, 68000000, 14117800, 9786;
0099: 14391041; 0, 5842368, 1006400, 622;
0034: 66690854; 0, 7056, 1392400, 721;
0083: 450029; 0, 200000000, 22108200, 9676;
0039: 928959; 0, 92000000, 15547400, 9836;
0089: 8046505; 0, 10414656, 1913100, 932;
0058: 314; 33, 180000000, 22017500, 9824;
0029: 14517160; 0, 4900000, 1888400, 911;
0053: 496084; 0, 180000000, 21479000, 9840;
0030: 33400803; 0, 635040, 2258900, 1099;
0086: 1002; 28, 172000000, 20957500, 9811;
0042: 10907391; 0, 7874496, 1193600, 674;
0014: 884455; 0, 104000000, 8964000, 5352;
0087: 403038; 6, 52000000, 12942100, 9837;
0040: 25; 44, 196000000, 22886300, 9847;
0041: 71431429; 0, 301644, 998300, 674;
0061: 27888091; 0, 2540160, 945600, 748;
0072: 2389651; 1, 32148900, 1228800, 752;
0008: 4290; 23, 120000000, 17500400, 9828;
0038: 1535783; 0, 52000000, 13013400, 9858;
0057: 1102158; 0, 76000000, 14631100, 9849;
0020: 2843506; 0, 33434856, 1633000, 969;
0046: 1217682; 2, 40000000, 12458900, 9872;
0051: 903418; 0, 96000000, 14590800, 8980;
0023: 39269278; 1, 802816, 1134400, 804;
0095: 925617; 0, 92000000, 15936100, 9849;
0067: 212008; 5, 136000000, 18460300, 9825;
0098: 272023; 5, 104000000, 16360500, 9787;
0082: 30476888; 1, 635040, 1889900, 929;
0074: 4548137; 0, 20235628, 1651400, 770;
0024: 108397; 10, 84000000, 14956900, 9779;
0007: 6905418; 0, 12446784, 1934600, 853;
0000: 6489756; 0, 12700800, 2608100, 1150;
0001: 629517; 0, 140000000, 18752100, 9818;
0037: 1903243; 0, 40000000, 12441900, 9854;
0079: 48304979; 0, 476280, 1493900, 838;
0091: 1156741; 0, 72000000, 14349800, 9787;
0011: 1671427; 0, 57868020, 1861100, 858;
0017: 3868972; 0, 24433164, 1313500, 891;
0031: 1051317; 0, 80000000, 15018800, 9786;
0018: 15255763; 0, 4777500, 1677400, 830;
0092: 1357669; 0, 60000000, 13555700, 9834;
0096: 29158; 15, 104000000, 16570000, 9780;
0027: 1537034; 0, 52000000, 12960400, 9823;
0044: 1813; 27, 116000000, 17266200, 9830;
0052: 17103; 15, 184000000, 21623800, 9792;
0004: 663571; 0, 132000000, 18600000, 9850;
0068: 1765777; 0, 44000000, 12532300, 9846;
0056: 2346378; 0, 41150592, 1368300, 739;
0003: 68934141; 0, 109760, 1240900, 660;
0070: 61369; 12, 96000000, 15878600, 9835;
0002: 928588; 0, 92000000, 15590400, 9891;
0049: 16282349; 0, 5080320, 961300, 637;
0035: 495059; 3, 88000000, 15322200, 9785;
0065: 529044; 0, 168000000, 20920300, 9879;
0021: 1218281; 0, 68000000, 13982900, 9809;
0028: 861702; 0, 100000000, 15949400, 9731;
0069: 1720; 26, 156000000, 19641200, 9797;
0050: 705288; 0, 124000000, 17686200, 9839;
0010: 63620841; 0, 4312, 1467500, 924;
0025: 976844; 3, 40000000, 12313700, 9798;
0032: 467610; 0, 192000000, 21753800, 9767;
0080: 505920; 0, 176000000, 21560000, 9842;
0036: 15752845; 1, 2408448, 2570000, 1110;
0022: 775120; 0, 112000000, 16912400, 9768;
0015: 518685; 0, 172000000, 20695600, 9841;
0012: 23462062; 0, 2940000, 1222200, 745;
0045: 370389; 7, 44000000, 12520300, 9841;
0063: 1005754; 0, 91828352, 7499600, 4080;
0033: 11344; 18, 140000000, 18714200, 9795;
0078: 683878; 0, 128000000, 18125100, 9860;
0075: 927686; 0, 92000000, 15695200, 9821;
0013: 32759658; 1, 8428, 2333600, 1094;
0084: 705172; 0, 124000000, 17709500, 9791;
0071: 677114; 0, 137742528, 9843200, 4384;
0085: 1776225; 0, 48000000, 8199200, 6264;
0059: 657390; 3, 64000000, 13783800, 9854;
0043: 9694876; 0, 8382528, 1832200, 1000;
0054: 518045; 0, 172000000, 20933500, 9808;
0097: 340449; 3, 132000000, 18289900, 9853;
0077: 1864752; 0, 51438240, 2088200, 1020;
0019: 388605; 1, 184000000, 21764700, 9742;
0055: 78235998; 0, 59584, 1118600, 752;
0048: 3260250; 0, 29400000, 1172500, 845;
0094: 21387; 14, 184000000, 21543900, 9820;
0060: 568015; 0, 156000000, 19951700, 9812;
0005: 322305; 3, 140000000, 18756000, 9873;
0006: 1124; 29, 120000000, 17658800, 9843;
0026: 377729; 6, 56000000, 13300100, 9798;
0062: 52105; 10, 184000000, 21974500, 9809;
0088: 59987859; 0, 4704, 1562300, 964;
0009: 2019354; 0, 40000000, 9420800, 7472;
0076: 32687986; 0, 1404928, 1554300, 894;
0093: 1100304; 0, 76000000, 14784000, 9874;
0064: 1536561; 0, 52000000, 12980400, 9785;
0016: 2484076; 1, 30862944, 1242200, 769;

TOTAL_SCORE: 867903249
AVELAGE_SCOR: 8679032
AVELAGE_WA_CNT: 3
AVELAGE_P_COST: 78025808
AVELAGE_M_COST: 11382531
AVELAGE_M_CNT: 6547
TOTAL_EXP_SCORE: 6943.62979713626608656675
