0081: 9830909; 0, 1440000, 8632000, 4560;
0066: 6; 64, 4000000, 8336100, 3160;
0047: 7948621; 0, 4000000, 8480800, 4005;
0073: 1; 95, 4000000, 12174000, 4851;
0090: 8749; 31, 4000000, 7220200, 4032;
0099: 21459117; 0, 186624, 4373400, 2145;
0034: 16200514; 0, 144, 6072500, 2145;
0083: 7692190; 0, 4000000, 8900200, 2415;
0039: 34881; 25, 4000000, 6730900, 3160;
0089: 9539324; 0, 186624, 10196300, 3403;
0058: 4; 65, 4000000, 9782400, 2926;
0029: 10591650; 0, 90000, 9251400, 3160;
0053: 1677039; 5, 4000000, 15439200, 4970;
0030: 3588007; 3, 11664, 14158100, 4656;
0086: 2; 69, 4000000, 8821100, 2775;
0042: 18566917; 0, 186624, 5099300, 2080;
0014: 12239927; 0, 2985984, 5084000, 2145;
0087: 41; 55, 4000000, 7524800, 4556;
0040: 1; 92, 4000000, 17477400, 4851;
0041: 17709886; 0, 11664, 5534900, 2850;
0061: 13663398; 0, 186624, 7032200, 4656;
0072: 13928190; 0, 944784, 6134900, 2850;
0008: 1; 82, 4000000, 9605900, 3828;
0038: 29; 58, 4000000, 4293700, 2556;
0057: 4655; 34, 4000000, 6793300, 3403;
0020: 8869979; 0, 944784, 10229200, 4465;
0046: 1; 86, 4000000, 6431000, 4278;
0051: 9697440; 0, 4000000, 6212000, 2775;
0023: 13666871; 0, 36864, 7180100, 4095;
0095: 54600; 22, 4000000, 9414300, 4465;
0067: 3; 67, 4000000, 7084800, 2701;
0098: 1; 77, 4000000, 8056500, 3570;
0082: 10081699; 0, 11664, 9807300, 3321;
0074: 12423991; 0, 345744, 7603200, 2346;
0024: 30; 56, 4000000, 8466000, 3906;
0007: 10396606; 0, 186624, 9331900, 2556;
0000: 6267108; 0, 186624, 15669700, 4560;
0001: 6119277; 0, 4000000, 12241800, 4422;
0037: 1; 77, 4000000, 5390000, 3655;
0079: 12571874; 0, 11664, 7842600, 3160;
0091: 1074; 41, 4000000, 5804100, 3160;
0011: 10295710; 0, 944784, 8668000, 2701;
0017: 9386337; 0, 944784, 9609000, 4851;
0031: 5420858; 3, 4000000, 5345000, 2628;
0018: 12583840; 0, 90000, 7756700, 2701;
0092: 1; 76, 4000000, 8012400, 4560;
0096: 2; 70, 4000000, 5742200, 2628;
0027: 1438894; 8, 4000000, 7559800, 4560;
0044: 1; 76, 4000000, 8031600, 3160;
0052: 1; 71, 4000000, 10394800, 3240;
0004: 2; 70, 4000000, 8883800, 3321;
0068: 32; 57, 4000000, 5389800, 3486;
0056: 13728186; 0, 944784, 6239500, 2346;
0003: 19219297; 0, 2304, 5100800, 1891;
0070: 2; 72, 4000000, 6338900, 2926;
0002: 674; 42, 4000000, 8534500, 4005;
0049: 20568836; 0, 186624, 4575100, 2346;
0035: 3372; 35, 4000000, 7933000, 3660;
0065: 600; 41, 4000000, 13631000, 4371;
0021: 1437; 39, 4000000, 7464200, 3906;
0028: 70; 53, 4000000, 6475500, 2926;
0069: 1; 75, 4000000, 9449200, 3403;
0050: 171044; 17, 4000000, 9065100, 3655;
0010: 10017086; 0, 144, 9882800, 4560;
0025: 36; 56, 4000000, 6444200, 4290;
0032: 4586988; 0, 4000000, 17700800, 4970;
0080: 723356; 10, 4000000, 10743900, 3403;
0036: 6662641; 0, 36864, 14872200, 4186;
0022: 7443135; 0, 4000000, 9335200, 3906;
0015: 34; 54, 4000000, 13363200, 4371;
0012: 14861712; 0, 90000, 6538700, 2926;
0045: 1; 82, 4000000, 5937700, 3828;
0063: 7150466; 0, 2108304, 11776800, 4465;
0033: 53; 53, 4000000, 9873600, 3660;
0078: 33; 55, 4000000, 10107000, 3741;
0075: 18; 59, 4000000, 7033900, 3321;
0013: 6605307; 0, 144, 15039200, 4656;
0084: 6469980; 0, 4000000, 11356000, 4556;
0071: 6046899; 0, 2108304, 14329100, 4186;
0085: 9671102; 0, 2985984, 7254100, 4560;
0059: 37; 55, 4000000, 8555800, 4692;
0043: 8316684; 0, 186624, 11737400, 4560;
0054: 278545; 15, 4000000, 8531500, 2556;
0097: 2; 68, 4000000, 10230800, 3828;
0077: 7900839; 0, 944784, 11612100, 4005;
0019: 370; 43, 4000000, 14340800, 4290;
0055: 14231019; 0, 2304, 6924600, 3570;
0048: 9702898; 0, 1440000, 8766200, 4950;
0094: 46; 52, 4000000, 15823000, 4970;
0060: 2; 67, 4000000, 13855200, 4656;
0005: 1; 80, 4000000, 11892400, 4371;
0006: 1; 84, 4000000, 9910300, 4005;
0026: 2; 70, 4000000, 4557500, 2775;
0062: 2; 69, 4000000, 8260600, 2556;
0088: 9418286; 0, 144, 10517500, 4753;
0009: 14412961; 0, 4000000, 2838200, 1891;
0076: 10961711; 0, 36864, 8985800, 3741;
0093: 128; 49, 4000000, 9855900, 4950;
0064: 8; 64, 4000000, 4666800, 2850;
0016: 12237380; 0, 944784, 7126900, 3081;

TOTAL_SCORE: 515353580
AVELAGE_SCOR: 5153535
AVELAGE_WA_CNT: 29
AVELAGE_P_COST: 2699532
AVELAGE_M_COST: 8906911
AVELAGE_M_CNT: 3634
