0081: 733015; 0, 135240000, 1083000, 950;
0066: 178830; 0, 548000000, 11091600, 9954;
0047: 103172; 4, 396000000, 907800, 801;
0073: 29296; 8, 562000000, 10584000, 9408;
0090: 369126; 0, 260000000, 10810800, 9702;
0099: 4664982; 0, 20829312, 507000, 455;
0034: 158181295; 0, 25186, 507000, 455;
0083: 157076; 0, 636000000, 538200, 483;
0039: 244385; 0, 398000000, 11091600, 9954;
0089: 2387194; 0, 41150592, 639600, 574;
0058: 19601; 9, 674000000, 10670400, 9576;
0029: 4997514; 0, 19293750, 616200, 553;
0053: 159485; 0, 616000000, 10920000, 9800;
0030: 27843690; 0, 2627478, 864000, 768;
0086: 104054; 2, 604000000, 10966800, 9842;
0042: 3397892; 0, 28830816, 499200, 448;
0014: 254708; 0, 392000000, 507000, 455;
0087: 3443; 24, 126000000, 11095200, 9648;
0040: 8455; 12, 802000000, 10701600, 9604;
0041: 48335005; 0, 1293894, 675000, 600;
0061: 15257896; 0, 2921184, 3532800, 2688;
0072: 691028; 0, 144027072, 585000, 525;
0008: 35730; 7, 576000000, 10857600, 9744;
0038: 855595; 0, 106000000, 10777800, 9372;
0057: 336731; 0, 286000000, 10873200, 9594;
0020: 628463; 0, 158172588, 846000, 752;
0046: 1; 71, 44000000, 9825600, 8096;
0051: 199662; 1, 400000000, 577200, 518;
0023: 26417790; 0, 2659328, 1026000, 900;
0095: 233047; 0, 418000000, 10998000, 9776;
0067: 177017; 0, 554000000, 10818600, 9709;
0098: 125187; 2, 500000000, 11138400, 9996;
0082: 29628278; 0, 2643354, 631800, 567;
0074: 1427689; 0, 69412910, 530400, 476;
0024: 92769; 5, 342000000, 11122800, 9982;
0007: 2713625; 0, 36197280, 553800, 497;
0000: 1898966; 0, 51819264, 741000, 665;
0001: 186948; 0, 524000000, 10810800, 9702;
0037: 344; 38, 50000000, 10302000, 8670;
0079: 35970188; 0, 2063880, 616200, 553;
0091: 347970; 0, 276000000, 11281200, 9954;
0011: 498417; 0, 199966158, 569400, 511;
0017: 1093263; 0, 90016920, 1352400, 1176;
0031: 269709; 0, 360000000, 10670400, 9576;
0018: 5592638; 0, 17211250, 569400, 511;
0092: 58459; 11, 136000000, 10839500, 9310;
0096: 111119; 3, 450000000, 10670400, 9576;
0027: 1358345; 0, 64000000, 9519000, 7695;
0044: 30003; 8, 548000000, 11091600, 9954;
0052: 73069; 3, 690000000, 10608000, 9520;
0004: 166434; 0, 590000000, 10740600, 9639;
0068: 1055599; 1, 64000000, 11686400, 9960;
0056: 640078; 0, 155600676, 530400, 476;
0003: 113775998; 0, 376320, 402600, 366;
0070: 180681; 1, 432000000, 10670400, 9576;
0002: 218669; 0, 446000000, 11214000, 9968;
0049: 5048311; 0, 19178208, 530400, 476;
0035: 285070; 0, 340000000, 10692000, 9720;
0065: 137178; 0, 718000000, 10881000, 9765;
0021: 391815; 0, 244000000, 11122800, 9982;
0028: 221843; 0, 440000000, 10670400, 9576;
0069: 6654; 14, 650000000, 10873200, 9758;
0050: 166471; 0, 590000000, 10608000, 9520;
0010: 83220986; 0, 18620, 1083000, 950;
0025: 118; 43, 46000000, 11856000, 9880;
0032: 155034; 0, 634000000, 10920000, 9800;
0080: 146849; 0, 670000000, 10873200, 9758;
0036: 10161074; 0, 9031680, 709800, 637;
0022: 222607; 0, 438000000, 11122800, 9982;
0015: 123613; 0, 798000000, 10881000, 9765;
0012: 7582766; 0, 12495000, 592800, 532;
0045: 1; 71, 64000000, 10483500, 8700;
0063: 210191; 0, 474924758, 733200, 658;
0033: 169208; 1, 462000000, 10692000, 9720;
0078: 166963; 0, 588000000, 10836000, 9632;
0075: 226840; 0, 430000000, 10740600, 9639;
0013: 112886694; 0, 37044, 748800, 672;
0084: 215948; 0, 452000000, 10974600, 9849;
0071: 188079; 0, 530882660, 709800, 637;
0085: 1351005; 0, 72000000, 1919000, 1615;
0059: 274542; 2, 222000000, 11016000, 9792;
0043: 2418758; 0, 40388544, 855000, 760;
0054: 168585; 0, 582000000, 11076000, 9940;
0097: 129250; 1, 608000000, 10857600, 9744;
0077: 440292; 0, 226328256, 694200, 623;
0019: 180915; 0, 542000000, 10647000, 9555;
0055: 77445417; 0, 233632, 957600, 840;
0048: 1813286; 0, 52920000, 2128500, 1782;
0094: 173907; 0, 564000000, 10920000, 9800;
0060: 134666; 0, 732000000, 10483200, 9408;
0005: 150381; 0, 654000000, 10881000, 9765;
0006: 57976; 5, 554000000, 11107200, 9968;
0026: 59964; 10, 168000000, 10966800, 9620;
0062: 134868; 1, 582000000, 11076000, 9940;
0088: 100388706; 0, 23128, 873000, 776;
0009: 720322; 5, 44000000, 1390800, 1159;
0076: 13254584; 0, 6773760, 670800, 602;
0093: 403839; 1, 188000000, 9999000, 8415;
0064: 57698; 12, 108000000, 11002500, 9450;
0016: 615193; 1, 129238578, 702000, 624;

TOTAL_SCORE: 916828090
AVELAGE_SCOR: 9168280
AVELAGE_WA_CNT: 3
AVELAGE_P_COST: 297388530
AVELAGE_M_COST: 6644148
AVELAGE_M_CNT: 5883
