0081: 8789;
0066: 8810;
0047: 8848;
0073: 8852;
0090: 8822;
0099: 8826;
0034: 8793;
0083: 8646;
0039: 8742;
0089: 8764;
0058: 8897;
0029: 8704;
0053: 8813;
0030: 8775;
0086: 8783;
0042: 8780;
0014: 8960;
0087: 8792;
0040: 8795;
0041: 8874;
0061: 8811;
0072: 8886;
0008: 8729;
0038: 8844;
0057: 8711;
0020: 8848;
0046: 8722;
0051: 8790;
0023: 8730;
0095: 8743;
0067: 8895;
0098: 8767;
0082: 8770;
0074: 8788;
0024: 8799;
0007: 8796;
0000: 8934;
0001: 8819;
0037: 8903;
0079: 8942;
0091: 8824;
0011: 8844;
0017: 8812;
0031: 8735;
0018: 8703;
0092: 8600;
0096: 8762;
0027: 8717;
0044: 8594;
0052: 8702;
0004: 8768;
0068: 8737;
0056: 8873;
0003: 8788;
0070: 8749;
0002: 8811;
0049: 8843;
0035: 8765;
0065: 8815;
0021: 8793;
0028: 8708;
0069: 8801;
0050: 8815;
0010: 8793;
0025: 8759;
0032: 8900;
0080: 8692;
0036: 8815;
0022: 8615;
0015: 8734;
0012: 8805;
0045: 8803;
0063: 8714;
0033: 8862;
0078: 8810;
0075: 8680;
0013: 8819;
0084: 8963;
0071: 8895;
0085: 8857;
0059: 8765;
0043: 8794;
0054: 8866;
0097: 8838;
0077: 8804;
0019: 8718;
0055: 8606;
0048: 8848;
0094: 8774;
0060: 8794;
0005: 8812;
0006: 8799;
0026: 8718;
0062: 8814;
0088: 8731;
0009: 8645;
0076: 8883;
0093: 8834;
0064: 8791;
0016: 8772;

SCORE: 878973
