0081: 778256;
0066: 2205225;
0047: 9167675;
0073: 747252;
0090: 9905364;
0099: 231551;
0034: 1752350;
0083: 8275579;
0039: 22690494;
0089: 1824210;
0058: 275769;
0029: 566459;
0053: 17908591;
0030: 1458487;
0086: 364593;
0042: 447258;
0014: 7356595;
0087: 15136101;
0040: 730412;
0041: 12057970;
0061: 12832416;
0072: 9803366;
0008: 10834082;
0038: 1150613;
0057: 32877387;
0020: 1064633;
0046: 932231;
0051: 878349;
0023: 682883;
0095: 24718691;
0067: 3911516;
0098: 19937093;
0082: 476090;
0074: 4308807;
0024: 691377;
0007: 16338000;
0000: 2547851;
0001: 163713;
0037: 9367484;
0079: 249052;
0091: 3292499;
0011: 5494822;
0017: 13442311;
0031: 15146751;
0018: 841570;
0092: 1929588;
0096: 1535069;
0027: 263410;
0044: 506747;
0052: 15579431;
0004: 1637914;
0068: 1876551;
0056: 806470;
0003: 508761;
0070: 3205445;
0002: 501434;
0049: 7936819;
0035: 21806274;
0065: 7765048;
0021: 504085;
0028: 22812370;
0069: 3099833;
0050: 117221;
0010: 403937;
0025: 11617437;
0032: 13129781;
0080: 922555;
0036: 894374;
0022: 729351;
0015: 3199236;
0012: 1626024;
0045: 3533030;
0063: 268805;
0033: 15984375;
0078: 11516563;
0075: 657501;
0013: 773938;
0084: 64607;
0071: 75982;
0085: 1059315;
0059: 13004558;
0043: 12112252;
0054: 1165707;
0097: 13295931;
0077: 1793226;
0019: 260897;
0055: 358800;
0048: 358156;
0094: 226801;
0060: 625335;
0005: 2362557;
0006: 902301;
0026: 5051;
0062: 10480979;
0088: 3110070;
0009: 2553309;
0076: 13326980;
0093: 22628647;
0064: 219592;
0016: 14367680;

SCORE: 577871888
LOG_SCORE: 101655.27576014861442562336
