0081; 5131
0066; 3639
0047; 4096
0073; 6737
0090; 4251
0099; 4162
0034; 2235
0083; 3910
0039; 3116
0089; 5320
0058; 5327
0029; 5345
0053; 5419
0030; 1780
0086; 5820
0042; 5005
0014; 3511
0087; 1556
0040; 4381
0041; 4876
0061; 2053
0072; 5633
0008; 5849
0038; 4593
0057; 5327
0020; 4739
0046; 2355
0051; 4082
0023; 3457
0095; 2689
0067; 2273
0098; 4708
0082; 5044
0074; 4582
0024; 6470
0007; 955
0000; 5457
0001; 5131
0037; 2064
0079; 3223
0091; 1983
0011; 3480
0017; 4492
0031; 2099
0018; 4040
0092; 6100
0096; 5289
0027; 3803
0044; 6077
0052; 5179
0004; 5215
0068; 5551
0056; 5242
0003; 3745
0070; 4953
0002; 3933
0049; 5340
0035; 2610
0065; 5462
0021; 4529
0028; 5231
0069; 5387
0050; 3975
0010; 4433
0025; 2635
0032; 5073
0080; 5116
0036; 4629
0022; 4545
0015; 4036
0012; 5605
0045; 4686
0063; 2914
0033; 4737
0078; 2929
0075; 2768
0013; 4760
0084; 4596
0071; 3184
0085; 3245
0059; 979
0043; 3076
0054; 4072
0097; 5340
0077; 4999
0019; 3283
0055; 1989
0048; 5239
0094; 1241
0060; 5130
0005; 5846
0006; 4279
0026; 2871
0062; 3014
0088; 5308
0009; 3622
0076; 5514
0093; 5054
0064; 5494
0016; 5244
